metro,date,rent
"Baltimore, MD",2024-08-31,1801.896184124788
"Baltimore, MD",2024-09-30,1805.5738222464404
"Baltimore, MD",2024-10-31,1814.63289271805
"Baltimore, MD",2024-11-30,1819.9736443050017
"Baltimore, MD",2024-12-31,1826.8611855170964
"Boston, MA",2015-01-31,1958.786143332869
"Boston, MA",2015-02-28,1962.6831166979473
"Boston, MA",2015-03-31,1972.915797270074
"Boston, MA",2015-04-30,1982.9499387599053
"Boston, MA",2015-05-31,1990.5114558365224
"Boston, MA",2015-06-30,1994.9373414750296
"Boston, MA",2015-07-31,1997.3188215176697
"Boston, MA",2015-08-31,2004.2044052759604
"Boston, MA",2015-09-30,2012.381912697857
"Boston, MA",2015-10-31,2027.127755084307
"Boston, MA",2015-11-30,2038.060112352642
"Boston, MA",2015-12-31,2045.6111754482024
"Boston, MA",2016-01-31,2044.8824122257668
"Boston, MA",2016-02-29,2052.4129235428386
"Boston, MA",2016-03-31,2052.278479198618
"Boston, MA",2016-04-30,2057.7481339922906
"Boston, MA",2016-05-31,2061.057267322583
"Boston, MA",2016-06-30,2070.7463353225257
"Boston, MA",2016-07-31,2079.492061897679
"Boston, MA",2016-08-31,2090.3696844634337
"Boston, MA",2016-09-30,2100.5541404547043
"Boston, MA",2016-10-31,2108.414872006012
"Boston, MA",2016-11-30,2106.9724166009623
"Boston, MA",2016-12-31,2106.642880662392
"Boston, MA",2017-01-31,2116.013095501764
"Boston, MA",2017-02-28,2127.8513659972973
"Boston, MA",2017-03-31,2141.021121345409
"Boston, MA",2017-04-30,2145.9434795419384
"Boston, MA",2017-05-31,2148.4008518574024
"Boston, MA",2017-06-30,2151.229835618429
"Boston, MA",2017-07-31,2155.2814351416077
"Boston, MA",2017-08-31,2160.238377309866
"Boston, MA",2017-09-30,2163.9742269454227
"Boston, MA",2017-10-31,2166.411230143326
"Boston, MA",2017-11-30,2176.357198448828
"Boston, MA",2017-12-31,2189.082828324955
"Boston, MA",2018-01-31,2199.389143415833
"Boston, MA",2018-02-28,2202.6497086237346
"Boston, MA",2018-03-31,2207.2739399644493
"Boston, MA",2018-04-30,2214.0836811713666
"Boston, MA",2018-05-31,2222.583319822352
"Boston, MA",2018-06-30,2226.1861449851135
"Boston, MA",2018-07-31,2231.3191649589044
"Boston, MA",2018-08-31,2234.5009848569425
"Boston, MA",2018-09-30,2239.008819788165
"Boston, MA",2018-10-31,2248.0530871873
"Boston, MA",2018-11-30,2255.424923411182
"Boston, MA",2018-12-31,2262.562013926313
"Boston, MA",2019-01-31,2265.0690465495377
"Boston, MA",2019-02-28,2270.695396442506
"Boston, MA",2019-03-31,2276.2572224702217
"Boston, MA",2019-04-30,2283.018475494834
"Boston, MA",2019-05-31,2290.2156676373756
"Boston, MA",2019-06-30,2299.733788977751
"Boston, MA",2019-07-31,2307.6660344051547
"Boston, MA",2019-08-31,2316.048461112227
"Boston, MA",2019-09-30,2324.0770128338813
"Boston, MA",2019-10-31,2329.591724325998
"Boston, MA",2019-11-30,2334.77460691523
"Boston, MA",2019-12-31,2338.746887320977
"Boston, MA",2020-01-31,2345.80248790184
"Boston, MA",2020-02-29,2353.314216478264
"Boston, MA",2020-03-31,2362.4787515724124
"Boston, MA",2020-04-30,2351.386777119598
"Boston, MA",2020-05-31,2332.7993298843016
"Boston, MA",2020-11-30,2198.679161376011
"Boston, MA",2020-12-31,2202.1488806355464
"Boston, MA",2021-01-31,2213.4433949864933
"Boston, MA",2021-02-28,2230.63934764649
"Boston, MA",2021-03-31,2247.1695591436887
"Boston, MA",2021-04-30,2265.463590330208
"Boston, MA",2021-05-31,2288.6694058750877
"Boston, MA",2021-06-30,2317.3340856954896
"Boston, MA",2021-07-31,2347.2268547238086
"Boston, MA",2021-08-31,2375.918140242177
"Boston, MA",2021-09-30,2411.903270499074
"Boston, MA",2021-10-31,2448.937448369423
"Boston, MA",2021-11-30,2478.847468880006
"Boston, MA",2021-12-31,2496.5332423733516
"Boston, MA",2022-01-31,2505.99277476643
"Boston, MA",2022-02-28,2508.600754174183
"Boston, MA",2022-03-31,2515.4926262202603
"Boston, MA",2022-04-30,2532.8425098204775
"Boston, MA",2022-05-31,2558.46922585948
"Boston, MA",2022-06-30,2584.8758506587483
"Boston, MA",2022-07-31,2608.798085645774
"Boston, MA",2022-08-31,2636.701307567503
"Boston, MA",2022-09-30,2662.0194120281303
"Boston, MA",2022-10-31,2679.0566246613785
"Boston, MA",2022-11-30,2688.227289326738
"Boston, MA",2022-12-31,2693.924777274314
"Boston, MA",2023-01-31,2696.3439313636704
"Boston, MA",2023-02-28,2707.674312230266
"Boston, MA",2023-03-31,2723.1516099263126
"Boston, MA",2023-04-30,2742.5005565641877
"Boston, MA",2023-05-31,2755.0965750506043
"Boston, MA",2023-06-30,2766.908014818507
"Boston, MA",2023-07-31,2777.898651401092
"Boston, MA",2023-08-31,2791.4023401187956
"Boston, MA",2023-09-30,2804.072551374627
"Boston, MA",2023-10-31,2814.3092816895137
"Boston, MA",2023-11-30,2826.2688937340467
"Boston, MA",2023-12-31,2835.304347434132
"Boston, MA",2024-01-31,2845.6547565880073
"Boston, MA",2024-02-29,2858.4117828760695
"Boston, MA",2024-03-31,2868.956949540749
"Boston, MA",2024-04-30,2877.298483678391
"Boston, MA",2024-05-31,2882.915120272953
"Boston, MA",2024-06-30,2889.758626226503
"Boston, MA",2024-07-31,2897.4572009815647
"Boston, MA",2024-08-31,2895.941050938112
"Boston, MA",2024-09-30,2897.705486075782
"Boston, MA",2024-10-31,2900.7142110971113
"Boston, MA",2024-11-30,2916.4287321861057
"Boston, MA",2024-12-31,2930.563764239635
"Buffalo, NY",2015-01-31,783.0996155615209
